game_id,game_date,opponent,home_game,team_score,opponent_score,point_diff,win,win_loss_flag,points_kpi
game_1,10/3/2024,Dallas Stallions,1,98,100,-2,0,Loss,Red
game_2,10/5/2024,Chicago Blaze,1,102,103,-1,0,Loss,Yellow
game_3,10/7/2024,Miami Waves,0,98,106,-8,0,Loss,Red
game_4,10/9/2024,Boise Ranchers,1,103,100,3,1,Win,Yellow
game_5,10/11/2024,Chicago Blaze,0,93,106,-13,0,Loss,Red
game_6,10/13/2024,Dallas Stallions,1,97,108,-11,0,Loss,Red
game_7,10/15/2024,Dallas Stallions,1,99,106,-7,0,Loss,Red
game_8,10/17/2024,Boise Ranchers,1,116,119,-3,0,Loss,Green
game_9,10/19/2024,Chicago Blaze,0,114,116,-2,0,Loss,Yellow
game_10,10/21/2024,Tacoma Troopers,0,107,118,-11,0,Loss,Yellow
game_11,10/23/2024,Tacoma Troopers,1,100,114,-14,0,Loss,Red
game_12,10/25/2024,Dallas Stallions,0,108,102,6,1,Win,Yellow
game_13,10/27/2024,Minneapolis Bears,1,92,101,-9,0,Loss,Red
game_14,10/29/2024,Miami Waves,0,108,116,-8,0,Loss,Yellow
game_15,10/31/2024,LA Stars,0,112,118,-6,0,Loss,Yellow
game_16,11/2/2024,Dallas Stallions,0,100,107,-7,0,Loss,Red
game_17,11/4/2024,Minneapolis Bears,1,105,112,-7,0,Loss,Yellow
game_18,11/6/2024,Kansas City Blues,1,117,118,-1,0,Loss,Green
game_19,11/8/2024,Nashville Stompers,1,103,112,-9,0,Loss,Yellow
game_20,11/10/2024,Chicago Blaze,1,93,105,-12,0,Loss,Red
game_21,11/12/2024,LA Stars,0,118,120,-2,0,Loss,Green
game_22,11/14/2024,Nashville Stompers,0,93,104,-11,0,Loss,Red
game_23,11/16/2024,Minneapolis Bears,0,112,117,-5,0,Loss,Yellow
game_24,11/18/2024,Chicago Blaze,1,97,109,-12,0,Loss,Red
game_25,11/20/2024,Chicago Blaze,1,113,107,6,1,Win,Yellow
game_26,11/22/2024,Kansas City Blues,0,88,100,-12,0,Loss,Red
game_27,11/24/2024,Tacoma Troopers,1,95,107,-12,0,Loss,Red
game_28,11/26/2024,Dallas Stallions,0,94,101,-7,0,Loss,Red
game_29,11/28/2024,Dallas Stallions,1,95,110,-15,0,Loss,Red
game_30,11/30/2024,LA Stars,0,95,108,-13,0,Loss,Red
game_31,12/2/2024,Boise Ranchers,1,101,103,-2,0,Loss,Yellow
game_32,12/4/2024,Miami Waves,1,98,103,-5,0,Loss,Red
game_33,12/6/2024,Chicago Blaze,0,95,104,-9,0,Loss,Red
game_34,12/8/2024,Miami Waves,0,98,110,-12,0,Loss,Red
game_35,12/10/2024,Dallas Stallions,0,105,115,-10,0,Loss,Yellow
game_36,12/12/2024,Chicago Blaze,0,101,112,-11,0,Loss,Yellow
game_37,12/14/2024,Miami Waves,0,103,110,-7,0,Loss,Yellow
game_38,12/16/2024,Miami Waves,1,114,111,3,1,Win,Yellow
game_39,12/18/2024,Boise Ranchers,1,102,110,-8,0,Loss,Yellow
game_40,12/20/2024,LA Stars,0,112,118,-6,0,Loss,Yellow
game_41,12/22/2024,Tacoma Troopers,1,112,120,-8,0,Loss,Yellow
game_42,12/24/2024,LA Stars,0,97,108,-11,0,Loss,Red
game_43,12/26/2024,Chicago Blaze,0,114,118,-4,0,Loss,Yellow
game_44,12/28/2024,Nashville Stompers,0,107,108,-1,0,Loss,Yellow
game_45,12/30/2024,LA Stars,0,97,112,-15,0,Loss,Red
game_46,1/1/2025,Miami Waves,1,100,103,-3,0,Loss,Red
game_47,1/3/2025,Boise Ranchers,0,111,112,-1,0,Loss,Yellow
game_48,1/5/2025,Chicago Blaze,0,93,106,-13,0,Loss,Red
game_49,1/7/2025,Minneapolis Bears,1,112,102,10,1,Win,Yellow
game_50,1/9/2025,LA Stars,0,99,103,-4,0,Loss,Red
