sale_date,merch_revenue,merch_sales_tier
10/1/2024,3006,Medium
10/2/2024,5952,Medium
10/3/2024,8202,High
10/4/2024,2832,Medium
10/5/2024,5737,Medium
10/6/2024,2791,Medium
10/7/2024,6145,Medium
10/9/2024,1139,Low
10/10/2024,126,Low
10/11/2024,2080,Low
10/12/2024,8279,High
10/13/2024,4301,Medium
10/14/2024,12445,High
10/15/2024,10179,High
10/16/2024,2956,Medium
10/17/2024,1344,Low
10/18/2024,4470,Medium
10/19/2024,1596,Low
10/20/2024,1168,Low
10/22/2024,1564,Low
10/23/2024,6541,Medium
10/24/2024,9805,High
10/25/2024,5670,Medium
10/26/2024,9796,High
10/27/2024,5751,Medium
10/28/2024,960,Low
10/29/2024,6060,Medium
10/31/2024,6900,Medium
11/2/2024,3854,Medium
11/3/2024,2850,Medium
11/4/2024,8636,High
11/5/2024,1872,Low
11/6/2024,3702,Medium
11/7/2024,7294,Medium
11/8/2024,3414,Medium
11/10/2024,3354,Medium
11/11/2024,725,Low
11/12/2024,12973,High
11/13/2024,12625,High
11/14/2024,4142,Medium
11/18/2024,306,Low
11/19/2024,2108,Low
11/21/2024,7448,Medium
11/22/2024,4620,Medium
11/23/2024,9300,High
11/24/2024,7290,Medium
11/25/2024,1496,Low
11/27/2024,864,Low
11/29/2024,104,Low
11/30/2024,4468,Medium
12/1/2024,940,Low
12/2/2024,8163,High
12/4/2024,6433,Medium
12/5/2024,6680,Medium
12/6/2024,644,Low
12/7/2024,505,Low
12/8/2024,10618,High
12/9/2024,2125,Low
12/10/2024,11464,High
12/11/2024,6483,Medium
12/13/2024,5128,Medium
12/14/2024,5033,Medium
12/15/2024,350,Low
12/17/2024,1260,Low
12/18/2024,6145,Medium
12/19/2024,4776,Medium
12/21/2024,3993,Medium
12/22/2024,13725,High
12/23/2024,1222,Low
12/24/2024,5921,Medium
12/25/2024,77,Low
12/26/2024,5943,Medium
12/27/2024,3102,Medium
12/29/2024,1943,Low
12/31/2024,10602,High
1/2/2025,5464,Medium
1/4/2025,1460,Low
1/5/2025,2854,Medium
1/6/2025,6142,Medium
1/7/2025,2278,Low
1/8/2025,923,Low
1/9/2025,2189,Low
1/10/2025,5760,Medium
1/11/2025,6390,Medium
1/12/2025,648,Low
1/14/2025,5181,Medium
1/15/2025,5632,Medium
1/16/2025,1820,Low
1/17/2025,3168,Medium
1/18/2025,4864,Medium
1/19/2025,2854,Medium
1/20/2025,448,Low
1/21/2025,5572,Medium
1/22/2025,582,Low
1/24/2025,3865,Medium
1/25/2025,11496,High
1/26/2025,7218,Medium
1/27/2025,7501,High
