game_id,tickets_sold,game_revenue,ticket_revenue_tier
game_1,3540,70800,Medium
game_2,2956,141888,High
game_3,3567,64206,Low
game_4,2044,96068,Medium
game_5,3212,112420,High
game_6,1856,37120,Low
game_7,3332,163268,High
game_8,2542,55924,Low
game_9,2223,91143,Medium
game_10,1382,60808,Low
game_11,1768,70720,Medium
game_12,2763,121572,High
game_13,2361,80274,Medium
game_14,3071,89059,Medium
game_15,2441,100081,High
game_16,1744,81968,Medium
game_17,2180,100280,High
game_18,3712,155904,High
game_19,1381,24858,Low
game_20,2165,56290,Low
game_21,1998,73926,Medium
game_22,3396,139236,High
game_23,2183,82954,Medium
game_24,3448,158608,High
game_25,2985,143280,High
game_26,1466,55708,Low
game_27,3255,91140,Medium
game_28,2118,93192,Medium
game_29,2176,43520,Low
game_30,1330,65170,Medium
game_31,2433,53526,Low
game_32,3385,77855,Medium
game_33,1813,76146,Medium
game_34,3523,144443,High
game_35,3662,98874,Medium
game_36,1662,39888,Low
game_37,3008,84224,Medium
game_38,1982,79280,Medium
game_39,2974,130856,High
game_40,3025,99825,Medium
game_41,2325,62775,Low
game_42,3728,108112,High
game_43,1689,59115,Low
game_44,3066,113442,High
game_45,1875,54375,Low
game_46,1921,92208,Medium
game_47,2623,99674,Medium
game_48,2980,95360,Medium
game_49,1220,24400,Low
game_50,2558,97204,Medium
