game_id,game_date,opponent,home_game,team_score,opponent_score,win
1,10/3/2024,Dallas Stallions,1,98,100,0
2,10/5/2024,Chicago Blaze,1,102,103,0
3,10/7/2024,Miami Waves,0,98,106,0
4,10/9/2024,Boise Ranchers,1,103,100,1
5,10/11/2024,Chicago Blaze,0,93,106,0
6,10/13/2024,Dallas Stallions,1,97,108,0
7,10/15/2024,Dallas Stallions,1,99,106,0
8,10/17/2024,Boise Ranchers,1,116,119,0
9,10/19/2024,Chicago Blaze,0,114,116,0
10,10/21/2024,Tacoma Troopers,0,107,118,0
11,10/23/2024,Tacoma Troopers,1,100,114,0
12,10/25/2024,Dallas Stallions,0,108,102,1
13,10/27/2024,Minneapolis Bears,1,92,101,0
14,10/29/2024,Miami Waves,0,108,116,0
15,10/31/2024,LA Stars,0,112,118,0
16,11/2/2024,Dallas Stallions,0,100,107,0
17,11/4/2024,Minneapolis Bears,1,105,112,0
18,11/6/2024,Kansas City Blues,1,117,118,0
19,11/8/2024,Nashville Stompers,1,103,112,0
20,11/10/2024,Chicago Blaze,1,93,105,0
21,11/12/2024,LA Stars,0,118,120,0
22,11/14/2024,Nashville Stompers,0,93,104,0
23,11/16/2024,Minneapolis Bears,0,112,117,0
24,11/18/2024,Chicago Blaze,1,97,109,0
25,11/20/2024,Chicago Blaze,1,113,107,1
26,11/22/2024,Kansas City Blues,0,88,100,0
27,11/24/2024,Tacoma Troopers,1,95,107,0
28,11/26/2024,Dallas Stallions,0,94,101,0
29,11/28/2024,Dallas Stallions,1,95,110,0
30,11/30/2024,LA Stars,0,95,108,0
31,12/2/2024,Boise Ranchers,1,101,103,0
32,12/4/2024,Miami Waves,1,98,103,0
33,12/6/2024,Chicago Blaze,0,95,104,0
34,12/8/2024,Miami Waves,0,98,110,0
35,12/10/2024,Dallas Stallions,0,105,115,0
36,12/12/2024,Chicago Blaze,0,101,112,0
37,12/14/2024,Miami Waves,0,103,110,0
38,12/16/2024,Miami Waves,1,114,111,1
39,12/18/2024,Boise Ranchers,1,102,110,0
40,12/20/2024,LA Stars,0,112,118,0
41,12/22/2024,Tacoma Troopers,1,112,120,0
42,12/24/2024,LA Stars,0,97,108,0
43,12/26/2024,Chicago Blaze,0,114,118,0
44,12/28/2024,Nashville Stompers,0,107,108,0
45,12/30/2024,LA Stars,0,97,112,0
46,1/1/2025,Miami Waves,1,100,103,0
47,1/3/2025,Boise Ranchers,0,111,112,0
48,1/5/2025,Chicago Blaze,0,93,106,0
49,1/7/2025,Minneapolis Bears,1,112,102,1
50,1/9/2025,LA Stars,0,99,103,0
