sale_id,product_name,player_name,quantity,price,revenue,sale_date
1,Jersey,Player_3,6,108,648,1/12/2025
2,Poster,Player_9,49,78,3822,12/10/2024
3,Poster,Player_1,34,127,4318,12/8/2024
4,Poster,Player_11,37,80,2960,11/30/2024
5,Jersey,Player_5,26,28,728,12/4/2024
6,Hat,Player_10,8,134,1072,10/23/2024
7,Hat,Player_3,13,52,676,10/6/2024
8,Jersey,Player_7,44,131,5764,10/26/2024
9,Hat,Player_14,39,86,3354,11/10/2024
10,Jersey,Player_15,6,119,714,12/11/2024
11,Hoodie,Player_7,18,137,2466,1/26/2025
12,Jersey,Player_14,45,127,5715,10/15/2024
13,Hat,Player_7,10,45,450,1/27/2025
14,Jersey,Player_2,19,108,2052,1/21/2025
15,Hoodie,Player_7,25,144,3600,12/13/2024
16,Poster,Player_10,3,64,192,11/5/2024
17,Hat,Player_7,40,122,4880,10/5/2024
18,Hoodie,Player_7,45,80,3600,10/7/2024
19,Poster,Player_12,18,115,2070,10/3/2024
20,Hoodie,Player_6,20,91,1820,1/16/2025
21,Jersey,Player_8,15,54,810,11/8/2024
22,Poster,Player_12,50,102,5100,11/4/2024
23,Poster,Player_12,39,42,1638,10/25/2024
24,Hat,Player_8,27,144,3888,1/6/2025
25,Hoodie,Player_9,4,60,240,10/9/2024
26,Poster,Player_5,9,27,243,10/23/2024
27,Hat,Player_4,4,83,332,10/5/2024
28,Jersey,Player_8,24,70,1680,11/5/2024
29,Poster,Player_6,33,121,3993,12/21/2024
30,Jersey,Player_15,44,27,1188,10/31/2024
31,Poster,Player_6,39,134,5226,10/23/2024
32,Poster,Player_14,38,109,4142,11/14/2024
33,Hoodie,Player_3,48,43,2064,11/6/2024
34,Poster,Player_1,4,61,244,1/18/2025
35,Hat,Player_10,15,77,1155,12/26/2024
36,Hoodie,Player_4,42,124,5208,12/5/2024
37,Jersey,Player_1,31,53,1643,12/22/2024
38,Jersey,Player_3,15,84,1260,12/17/2024
39,Hoodie,Player_13,46,90,4140,11/24/2024
40,Poster,Player_15,23,137,3151,11/2/2024
41,Poster,Player_4,20,121,2420,12/14/2024
42,Jersey,Player_2,33,115,3795,12/11/2024
43,Hoodie,Player_11,20,47,940,12/1/2024
44,Hoodie,Player_2,18,103,1854,1/19/2025
