game_id,player_id,minutes_played,points,assists,rebounds
1,1,36,24,8,11
1,2,34,22,8,6
1,3,30,9,1,5
1,4,26,8,1,3
1,5,24,9,1,4
1,6,4,0,0,2
1,7,10,4,1,1
1,8,6,0,1,0
1,9,3,1,0,0
1,10,12,3,1,3
1,11,3,2,0,1
1,12,18,4,0,2
1,13,16,6,1,1
1,14,14,2,1,3
1,15,8,3,0,2
2,1,36,24,6,8
2,2,34,21,8,10
2,3,30,11,1,3
2,4,26,9,2,2
2,5,24,7,1,4
2,6,8,2,1,0
2,7,14,4,0,2
2,8,4,0,1,1
2,9,3,-1,0,0
2,10,16,4,0,2
2,11,18,3,0,3
2,12,6,1,1,1
2,13,3,-1,0,2
2,14,10,2,0,2
2,15,12,5,0,2
3,1,36,22,5,10
3,2,34,22,5,10
3,3,30,10,2,5
3,4,26,5,2,3
3,5,24,5,2,3
3,6,3,-1,1,2
3,7,16,3,0,1
3,8,10,1,1,3
3,9,4,2,1,2
3,10,12,2,0,3
3,11,6,3,0,2
3,12,18,5,0,3
3,13,3,-1,0,1
3,14,14,6,0,2
3,15,8,2,0,0
4,1,36,18,8,7
4,2,34,18,6,7
4,3,30,7,1,5
4,4,26,7,1,2
4,5,24,6,1,2
4,6,3,1,0,2
4,7,8,4,1,1
4,8,4,2,0,1
4,9,6,0,1,0
4,10,10,1,1,1
4,11,18,7,1,2
4,12,14,5,1,1
4,13,12,2,0,1
4,14,16,6,0,3
4,15,3,-1,1,1
5,1,36,24,6,10
5,2,34,25,8,10
5,3,30,7,1,5
5,4,26,9,1,4
5,5,24,8,1,4
5,6,16,2,1,1
5,7,18,7,1,3
5,8,14,3,0,1
5,9,4,0,0,1
5,10,10,2,0,1
5,11,12,1,0,1
5,12,8,4,1,2
5,13,6,3,0,0
5,14,3,0,1,2
5,15,3,0,1,2
6,1,36,19,8,7
6,2,34,17,7,6
6,3,30,7,2,4
6,4,26,7,2,3
6,5,24,8,1,2
6,6,10,3,0,2
6,7,3,-1,1,1
6,8,18,5,1,2
6,9,14,6,0,1
6,10,6,2,0,1
6,11,3,0,1,2
6,12,4,2,1,1
6,13,8,0,1,0
6,14,12,2,1,1
6,15,16,3,1,2
7,1,36,20,7,9
7,2,34,23,8,10
7,3,30,8,1,5
7,4,26,9,2,4
7,5,24,6,2,4
7,6,3,0,1,2
7,7,10,5,1,1
7,8,8,3,1,0
7,9,6,1,1,1
7,10,18,7,0,3
7,11,14,6,0,3
7,12,3,2,1,2
7,13,12,5,0,1
7,14,16,4,0,3
7,15,4,0,1,1
8,1,36,19,7,9
8,2,34,25,6,8
8,3,30,8,2,4
8,4,26,7,2,2
8,5,24,6,1,2
8,6,18,7,1,2
8,7,3,-1,0,2
8,8,10,1,0,3
8,9,8,0,0,0
8,10,4,2,0,2
8,11,6,2,0,1
8,12,16,2,1,2
8,13,14,3,1,3
8,14,12,5,1,2
8,15,3,2,0,1
9,1,36,23,6,7
9,2,34,17,7,6
9,3,30,8,2,5
9,4,26,9,2,2
9,5,24,9,1,2
9,6,3,1,1,2
9,7,14,4,1,3
9,8,10,4,1,1
9,9,16,5,1,2
9,10,3,2,0,1
9,11,6,1,0,1
9,12,4,3,0,2
9,13,18,3,1,3
9,14,8,2,0,1
9,15,12,5,0,2
10,1,36,24,7,10
10,2,34,20,6,10
10,3,30,8,1,4
10,4,26,7,1,4
10,5,24,6,2,2
10,6,4,0,1,0
10,7,18,4,0,3
10,8,3,2,1,2
10,9,6,1,1,2
10,10,10,4,0,2
10,11,16,6,1,3
10,12,14,2,1,1
10,13,3,0,0,1
10,14,12,1,1,2
10,15,8,4,0,0
11,1,36,18,7,9
11,2,34,24,8,7
11,3,30,11,2,4
11,4,26,8,1,3
11,5,24,6,1,4
11,6,16,5,0,2
11,7,4,0,0,2
11,8,12,3,1,1
11,9,8,4,1,1
11,10,14,4,1,1
11,11,3,0,1,1
11,12,10,3,0,3
11,13,6,0,1,0
11,14,18,3,1,2
11,15,3,1,1,2
12,1,36,19,7,8
12,2,34,18,6,7
12,3,30,8,2,4
12,4,26,6,1,3
12,5,24,7,1,3
12,6,4,3,0,0
12,7,10,2,0,1
12,8,14,6,1,1
12,9,3,1,1,2
12,10,6,2,0,0
12,11,3,0,0,1
12,12,8,3,1,2
12,13,18,4,1,3
12,14,12,2,1,1
12,15,16,6,0,3
13,1,36,26,6,11
13,2,34,17,7,7
13,3,30,7,2,3
13,4,26,9,1,2
13,5,24,6,2,4
13,6,12,5,0,2
13,7,3,0,0,1
13,8,16,6,1,2
13,9,8,0,1,0
13,10,6,3,0,0
13,11,3,0,0,1
13,12,10,5,1,1
13,13,18,3,0,3
13,14,4,2,0,1
13,15,14,3,1,3
14,1,36,21,5,9
14,2,34,25,5,9
14,3,30,10,1,4
14,4,26,8,2,4
14,5,24,6,1,2
14,6,4,1,0,2
14,7,14,2,0,3
14,8,16,4,1,2
14,9,3,-1,1,1
14,10,10,1,0,2
14,11,8,4,1,0
14,12,3,2,0,1
14,13,12,4,1,3
14,14,6,0,1,1
14,15,18,4,1,1
15,1,36,20,8,8
15,2,34,24,8,6
15,3,30,8,1,5
15,4,26,6,1,2
15,5,24,8,1,3
15,6,8,2,1,2
15,7,14,6,0,1
15,8,4,3,0,0
15,9,3,-1,0,2
15,10,10,1,1,3
15,11,16,2,0,3
15,12,12,1,1,2
15,13,6,0,1,2
15,14,3,0,0,1
15,15,18,5,1,3
16,1,36,22,7,11
16,2,34,22,8,10
16,3,30,11,2,4
16,4,26,8,1,3
16,5,24,7,1,2
16,6,16,3,0,2
16,7,18,4,1,1
16,8,3,1,1,2
16,9,12,4,0,3
16,10,8,0,0,0
16,11,6,2,1,2
16,12,14,6,1,3
16,13,10,3,1,2
16,14,3,0,0,1
16,15,4,1,0,2
17,1,36,18,5,8
17,2,34,17,8,8
17,3,30,8,1,3
17,4,26,8,1,2
17,5,24,5,2,4
17,6,14,3,0,1
17,7,18,6,0,3
17,8,4,1,1,1
17,9,3,-1,0,0
17,10,10,5,0,2
17,11,8,0,1,2
17,12,16,3,1,2
17,13,12,2,0,2
17,14,6,0,1,1
17,15,3,0,1,0
18,1,36,18,6,9
18,2,34,24,7,9
18,3,30,10,1,3
18,4,26,7,2,3
18,5,24,5,2,3
18,6,3,0,1,2
18,7,16,4,0,3
18,8,14,4,0,2
18,9,12,4,0,3
18,10,8,2,1,0
18,11,18,3,0,3
18,12,10,5,1,1
18,13,4,1,1,1
18,14,6,2,1,2
18,15,3,-1,0,1
19,1,36,24,7,11
19,2,34,25,7,7
19,3,30,7,2,3
19,4,26,9,2,4
19,5,24,6,1,4
19,6,6,3,0,0
19,7,16,6,1,1
19,8,8,4,0,2
