staff_role,department,salary,performance_score,leadership_score,experience_score,potential_score
General Manager,Front Office,2500000,6,9,5,4
Assistant GM,Front Office,1200000,6,5,1,9
Director of Analytics,Front Office,950000,1,3,2,5
Head Scout,Front Office,700000,4,4,1,9
Salary Cap Specialist,Front Office,800000,4,4,3,6
Head Coach,Coaching Staff,5000000,3,2,6,2
Assistant Coach 1,Coaching Staff,1200000,5,3,4,7
Assistant Coach 2,Coaching Staff,1100000,6,5,2,9
Player Development Coach,Coaching Staff,900000,3,6,3,1
Strength & Conditioning Coach,Coaching Staff,750000,4,5,5,5
Team Trainer,Coaching Staff,700000,3,3,3,8
