game_id,tickets_sold,avg_ticket_price,revenue
1,3540,20,70800
2,2956,48,141888
3,3567,18,64206
4,2044,47,96068
5,3212,35,112420
6,1856,20,37120
7,3332,49,163268
8,2542,22,55924
9,2223,41,91143
10,1382,44,60808
11,1768,40,70720
12,2763,44,121572
13,2361,34,80274
14,3071,29,89059
15,2441,41,100081
16,1744,47,81968
17,2180,46,100280
18,3712,42,155904
19,1381,18,24858
20,2165,26,56290
21,1998,37,73926
22,3396,41,139236
23,2183,38,82954
24,3448,46,158608
25,2985,48,143280
26,1466,38,55708
27,3255,28,91140
28,2118,44,93192
29,2176,20,43520
30,1330,49,65170
31,2433,22,53526
32,3385,23,77855
33,1813,42,76146
34,3523,41,144443
35,3662,27,98874
36,1662,24,39888
37,3008,28,84224
38,1982,40,79280
39,2974,44,130856
40,3025,33,99825
41,2325,27,62775
42,3728,29,108112
43,1689,35,59115
44,3066,37,113442
45,1875,29,54375
46,1921,48,92208
47,2623,38,99674
48,2980,32,95360
49,1220,20,24400
50,2558,38,97204
